source_name,dataset,class,file_name,file_path
105_JPG,train,pitting,105_JPG.rf.955d03cb8e35fc76ff56e4d9cd687692.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\pitting\105_JPG.rf.955d03cb8e35fc76ff56e4d9cd687692.jpg
105_JPG,train,pitting,105_JPG.rf.a3a1184aec9eb5ad4cb498e786b71b89.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\pitting\105_JPG.rf.a3a1184aec9eb5ad4cb498e786b71b89.jpg
105_JPG,validation,pitting,105_JPG.rf.d6b40c812af4617716bf95eeb085b269.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\val\pitting\105_JPG.rf.d6b40c812af4617716bf95eeb085b269.jpg
113_JPG,train,pitting,113_JPG.rf.9a15e744d710fb3d88fb0dcb53ae1e08.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\pitting\113_JPG.rf.9a15e744d710fb3d88fb0dcb53ae1e08.jpg
113_JPG,train,pitting,113_JPG.rf.a99eaf9556734f053f7343c79112f9f7.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\pitting\113_JPG.rf.a99eaf9556734f053f7343c79112f9f7.jpg
113_JPG,validation,pitting,113_JPG.rf.e9450e0dbf3a0e3b588abe6cbbf9bd09.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\val\pitting\113_JPG.rf.e9450e0dbf3a0e3b588abe6cbbf9bd09.jpg
119_jpg,train,pitting,119_jpg.rf.5d4d19dcfb0a055687224443e8e5cd04.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\pitting\119_jpg.rf.5d4d19dcfb0a055687224443e8e5cd04.jpg
119_jpg,train,pitting,119_jpg.rf.8b99f606c9d97456821251f39b0de1a6.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\pitting\119_jpg.rf.8b99f606c9d97456821251f39b0de1a6.jpg
119_jpg,validation,pitting,119_jpg.rf.9f1597f0ea6e5b3700cd38b147f8d8e9.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\val\pitting\119_jpg.rf.9f1597f0ea6e5b3700cd38b147f8d8e9.jpg
124_JPG,train,pitting,124_JPG.rf.6e4134ed8f456889a34e797bd3d2a828.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\pitting\124_JPG.rf.6e4134ed8f456889a34e797bd3d2a828.jpg
124_JPG,train,pitting,124_JPG.rf.9dfea669f5725b6bf16266aa68de98f0.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\pitting\124_JPG.rf.9dfea669f5725b6bf16266aa68de98f0.jpg
124_JPG,validation,pitting,124_JPG.rf.50d57fdbe05ba48917dd86dbd38e35e2.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\val\pitting\124_JPG.rf.50d57fdbe05ba48917dd86dbd38e35e2.jpg
Screen-Shot-2021-10-15-at-10-40-07-AM_png,train,blue_finger,Screen-Shot-2021-10-15-at-10-40-07-AM_png.rf.72e7211045099ae996482c659fc70f6c.jpg,C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\processed\train\blue_finger\Screen-Shot-2021-10-15-at-10-40-07-AM_png.rf.72e7211045099ae996482c659fc70f6c.jpg
