source_name,train_variant_count,test_variant_count,total_variant_count,train_classes,test_classes,same_class_across_splits,example_train_file,example_train_path,example_test_file,example_test_path
1124-Subungual_Melanoma-642x361-slide3_jpg,2,1,3,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,True,1124-Subungual_Melanoma-642x361-slide3_jpg.rf.0dac8bb63db59e791970223a68db4b3e.jpg,C:\Users\venka\Documents\Project\data\processed\train\Acral_Lentiginous_Melanoma\1124-Subungual_Melanoma-642x361-slide3_jpg.rf.0dac8bb63db59e791970223a68db4b3e.jpg,1124-Subungual_Melanoma-642x361-slide3_jpg.rf.20c5952ae446e61a018ac2e98609f278.jpg,C:\Users\venka\Documents\Project\data\processed\test\Acral_Lentiginous_Melanoma\1124-Subungual_Melanoma-642x361-slide3_jpg.rf.20c5952ae446e61a018ac2e98609f278.jpg
116_JPG,2,1,3,pitting,pitting,True,116_JPG.rf.13aee8567d6a22a8ee31e47471850438.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\116_JPG.rf.13aee8567d6a22a8ee31e47471850438.jpg,116_JPG.rf.09b6228a6798c4faafb6a84c783ccfa9.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\116_JPG.rf.09b6228a6798c4faafb6a84c783ccfa9.jpg
119_jpg,2,1,3,pitting,pitting,True,119_jpg.rf.5d4d19dcfb0a055687224443e8e5cd04.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\119_jpg.rf.5d4d19dcfb0a055687224443e8e5cd04.jpg,119_jpg.rf.8b99f606c9d97456821251f39b0de1a6.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\119_jpg.rf.8b99f606c9d97456821251f39b0de1a6.jpg
11_png,2,1,3,pitting,pitting,True,11_png.rf.3b282f8c18ef5c4d5f82ca0bcf05f007.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\11_png.rf.3b282f8c18ef5c4d5f82ca0bcf05f007.jpg,11_png.rf.3acafe927a60a1c1c05ac7b115c19b5b.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\11_png.rf.3acafe927a60a1c1c05ac7b115c19b5b.jpg
124_JPG,1,2,3,pitting,pitting,True,124_JPG.rf.6e4134ed8f456889a34e797bd3d2a828.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\124_JPG.rf.6e4134ed8f456889a34e797bd3d2a828.jpg,124_JPG.rf.50d57fdbe05ba48917dd86dbd38e35e2.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\124_JPG.rf.50d57fdbe05ba48917dd86dbd38e35e2.jpg
126_JPG,2,1,3,pitting,pitting,True,126_JPG.rf.372fbad28457b8da7cbe482df957c190.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\126_JPG.rf.372fbad28457b8da7cbe482df957c190.jpg,126_JPG.rf.8e3c38017672c29a316b3884721fa786.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\126_JPG.rf.8e3c38017672c29a316b3884721fa786.jpg
127_JPG,2,1,3,pitting,pitting,True,127_JPG.rf.925937be10b8e60383d0a12b0c92a683.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\127_JPG.rf.925937be10b8e60383d0a12b0c92a683.jpg,127_JPG.rf.8e4b2d61de934f2ca8bc127a5e889c93.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\127_JPG.rf.8e4b2d61de934f2ca8bc127a5e889c93.jpg
133_JPG,2,1,3,pitting,pitting,True,133_JPG.rf.b3b3a8e9874a8b3de117d2a4aaabb9d0.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\133_JPG.rf.b3b3a8e9874a8b3de117d2a4aaabb9d0.jpg,133_JPG.rf.926bfbd8694399db8bca576b390f7024.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\133_JPG.rf.926bfbd8694399db8bca576b390f7024.jpg
135_JPG,2,1,3,pitting,pitting,True,135_JPG.rf.2e8c19fc6a200208a927159b68688fd4.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\135_JPG.rf.2e8c19fc6a200208a927159b68688fd4.jpg,135_JPG.rf.9df3f55d65600846feee4b283eac6d5a.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\135_JPG.rf.9df3f55d65600846feee4b283eac6d5a.jpg
138_JPG,2,1,3,pitting,pitting,True,138_JPG.rf.770aefbabfc319d70159cbda56133274.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\138_JPG.rf.770aefbabfc319d70159cbda56133274.jpg,138_JPG.rf.343a765ce45a0f4c3cbb51d639cdaf96.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\138_JPG.rf.343a765ce45a0f4c3cbb51d639cdaf96.jpg
139_jpg,2,1,3,pitting,pitting,True,139_jpg.rf.34cc82efeb3157d34f7da288453ecbe9.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\139_jpg.rf.34cc82efeb3157d34f7da288453ecbe9.jpg,139_jpg.rf.cfbb2c717214ef727d1e9df7e8d4f195.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\139_jpg.rf.cfbb2c717214ef727d1e9df7e8d4f195.jpg
149_JPG,2,1,3,pitting,pitting,True,149_JPG.rf.69c7278affdb726cb811e2fc7e7889d5.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\149_JPG.rf.69c7278affdb726cb811e2fc7e7889d5.jpg,149_JPG.rf.6115fa9ab7322a035bda51469282c880.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\149_JPG.rf.6115fa9ab7322a035bda51469282c880.jpg
151_JPG,2,1,3,pitting,pitting,True,151_JPG.rf.cfb4aa0196480a17430dd5c388a32395.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\151_JPG.rf.cfb4aa0196480a17430dd5c388a32395.jpg,151_JPG.rf.8ee44e6dc45b3f372ad4bddc343c8ce3.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\151_JPG.rf.8ee44e6dc45b3f372ad4bddc343c8ce3.jpg
159_JPG,2,1,3,pitting,pitting,True,159_JPG.rf.732108fd1144e84dc27857c930a26772.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\159_JPG.rf.732108fd1144e84dc27857c930a26772.jpg,159_JPG.rf.75e8e7071a4ef28cf220571b9574f13a.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\159_JPG.rf.75e8e7071a4ef28cf220571b9574f13a.jpg
160_JPG,2,1,3,pitting,pitting,True,160_JPG.rf.4dd7d36015e29b03a1d2c6871e2eeeee.jpg,C:\Users\venka\Documents\Project\data\processed\train\pitting\160_JPG.rf.4dd7d36015e29b03a1d2c6871e2eeeee.jpg,160_JPG.rf.5e215e7d14e1e139300f032cb107c6d6.jpg,C:\Users\venka\Documents\Project\data\processed\test\pitting\160_JPG.rf.5e215e7d14e1e139300f032cb107c6d6.jpg
